question,option_a,option_b,option_c,option_d,option_correct,co,lo mapping,difficulty,marks
Bad Question KzOhT,Option A 0,Option B 0,Option C 0,Option D 0,A,CO5,LO4,Easy,5
Sample Question 2: PwP0y6mcJ0L6GDVJafQw?,Option A 1,Option B 1,Option C 1,Option D 1,C,CO2,LO5,Easy,5
Bad Question ANeB0,Option A 2,Option B 2,Option C 2,Option D 2,B,CO5,LO4,Easy,5
Sample Question 4: fREEcvMVELS63aSaOFWJ?,Option A 3,Option B 3,Option C 3,Option D 3,A,CO1,LO1,Medium,1
Bad Question MeuCe,Option A 4,Option B 4,Option C 4,Option D 4,C,CO5,LO4,Medium,5
Sample Question 6: rMHiNhA777pph95hHRy0?,Option A 5,Option B 5,Option C 5,Option D 5,A,CO1,LO4,Easy,1
Sample Question 7: 0rLFLMkFY1RBrY8bBjvi?,Option A 6,Option B 6,Option C 6,Option D 6,B,CO4,LO4,Medium,1
Sample Question 8: 1uWFZsBkR3AtfmLHLgDJ?,Option A 7,Option B 7,Option C 7,Option D 7,D,CO2,LO1,Medium,1
Sample Question 9: FL2Jv9PcyIpWU7BCbEO3?,Option A 8,Option B 8,Option C 8,Option D 8,C,CO2,LO2,Medium,1
Sample Question 10: PKdN6HoZtvNMiZ4KucXy?,Option A 9,Option B 9,Option C 9,Option D 9,D,CO3,LO2,Easy,1
Sample Question 11: F9PvgfS9HD1asniditDk?,Option A 10,Option B 10,Option C 10,Option D 10,A,CO4,LO2,Medium,2
Sample Question 12: 7aryLVM8ytmFNMNx0xYD?,Option A 11,Option B 11,Option C 11,Option D 11,D,CO3,LO5,Medium,5
Sample Question 13: 6Ci43cyDGe3nPxDME8cT?,Option A 12,Option B 12,Option C 12,Option D 12,C,CO2,LO3,Medium,1
Sample Question 14: Mmt6D58ANnEoziMIYvPb?,Option A 13,Option B 13,Option C 13,Option D 13,D,CO3,LO1,Medium,5
Sample Question 15: obI7aaXIU6lUNG3FhyI8?,Option A 14,Option B 14,Option C 14,Option D 14,B,CO2,LO1,Medium,1
Sample Question 16: fwwAx2Dd7idYdTMGZA7b?,Option A 15,Option B 15,Option C 15,Option D 15,D,CO3,LO4,Hard,5
Sample Question 17: DpgpvWdEyFHyobVDCP9k?,Option A 16,Option B 16,Option C 16,Option D 16,C,CO5,LO2,Medium,5
Sample Question 18: M5KjR1eEXRtNotDkYzbV?,Option A 17,Option B 17,Option C 17,Option D 17,A,CO1,LO5,Hard,2
Sample Question 19: retQ4pe5nkg2ZXI3X0x0?,Option A 18,Option B 18,Option C 18,Option D 18,B,CO2,LO4,Hard,5
Bad Question a7Xvu,Option A 19,Option B 19,Option C 19,Option D 19,D,CO1,LO3,Medium,5
Sample Question 21: Cl7BqcpvINf4NKwqf24l?,Option A 20,Option B 20,Option C 20,Option D 20,D,CO3,LO4,Hard,2
Sample Question 22: L6F4FlFpxq34JTKjdxo5?,Option A 21,Option B 21,Option C 21,Option D 21,B,CO5,LO2,Easy,5
Sample Question 23: bBlLs575Pu0GDTQt6rlF?,Option A 22,Option B 22,Option C 22,Option D 22,D,CO5,LO4,Hard,1
Sample Question 24: XoN309D42JuX397UZ4Uu?,Option A 23,Option B 23,Option C 23,Option D 23,C,CO3,LO4,Hard,5
Sample Question 25: MKwkHOTTD6Uo2v8Abxql?,Option A 24,Option B 24,Option C 24,Option D 24,B,CO5,LO2,Hard,1
Sample Question 26: GvHGOdsULyhv6LXQ8uPV?,Option A 25,Option B 25,Option C 25,Option D 25,A,CO5,LO3,Easy,1
Sample Question 27: YhaA74yMmB7fYns9vc72?,Option A 26,Option B 26,Option C 26,Option D 26,C,CO2,LO5,Hard,2
Sample Question 28: 6KjnPGAynKSaUw6Nccn7?,Option A 27,Option B 27,Option C 27,Option D 27,C,CO2,LO4,Easy,5
Sample Question 29: hX2rwtcN9ZehRDVeRI57?,Option A 28,Option B 28,Option C 28,Option D 28,C,CO5,LO3,Medium,5
Sample Question 30: KsjcQKX4SQkRxNEUoOv3?,Option A 29,Option B 29,Option C 29,Option D 29,B,CO4,LO1,Hard,2
Sample Question 31: nQNxS2kQWWOHKAU6zCHD?,Option A 30,Option B 30,Option C 30,Option D 30,A,CO1,LO2,Medium,2
Sample Question 32: mFY68LnXZNIjr8sNrsRQ?,Option A 31,Option B 31,Option C 31,Option D 31,D,CO2,LO5,Hard,2
Sample Question 33: SnmWCKNZhqQrD0qQzePH?,Option A 32,Option B 32,Option C 32,Option D 32,B,CO2,LO4,Easy,2
Sample Question 34: ndQvY43bhC4WPvIWP6B3?,Option A 33,Option B 33,Option C 33,Option D 33,B,CO4,LO1,Easy,5
Sample Question 35: SKh8v8gGriZE8XSJAPZc?,Option A 34,Option B 34,Option C 34,Option D 34,C,CO4,LO2,Medium,1
Sample Question 36: FPm9sbKjxq9MEUoIXbKI?,Option A 35,Option B 35,Option C 35,Option D 35,B,CO4,LO1,Easy,2
Sample Question 37: 533X6fe9kHuo3Lrq4xPv?,Option A 36,Option B 36,Option C 36,Option D 36,C,CO3,LO1,Medium,5
Sample Question 38: qLn0fDv3R7SZTMRRXqS8?,Option A 37,Option B 37,Option C 37,Option D 37,A,CO3,LO4,Hard,1
Sample Question 39: rjiUnUs3B5FBZExh8KhS?,Option A 38,Option B 38,Option C 38,Option D 38,B,CO5,LO3,Easy,1
Bad Question aUQIx,Option A 39,Option B 39,Option C 39,Option D 39,A,CO5,LO5,Medium,1
Sample Question 41: zYJeNdzqjr0fsjWX21UU?,Option A 40,Option B 40,Option C 40,Option D 40,A,CO4,LO1,Medium,5
Sample Question 42: 5SOGgyTqSAoQRBCVG9dg?,Option A 41,Option B 41,Option C 41,Option D 41,A,CO5,LO4,Hard,1
Bad Question ABZsX,Option A 42,Option B 42,Option C 42,Option D 42,A,CO4,LO3,Hard,2
Sample Question 44: kxZse0uAkTtOjuOQOjeD?,Option A 43,Option B 43,Option C 43,Option D 43,C,CO3,LO5,Medium,2
Sample Question 45: OjDhwhEhx484snfZf3Nd?,Option A 44,Option B 44,Option C 44,Option D 44,D,CO5,LO1,Hard,2
Sample Question 46: pnI9zI3jtXlJ8j2D8m1D?,Option A 45,Option B 45,Option C 45,Option D 45,B,CO1,LO5,Hard,5
Sample Question 47: kWIcGQKOTRMyqd5IvMxG?,Option A 46,Option B 46,Option C 46,Option D 46,C,CO5,LO2,Hard,2
Sample Question 48: fxfbYZgKGLzUi5tyDeH6?,Option A 47,Option B 47,Option C 47,Option D 47,C,CO5,LO5,Hard,2
Sample Question 49: YAVwhzN1dqVXZNbX28Z5?,Option A 48,Option B 48,Option C 48,Option D 48,A,CO1,LO5,Medium,5
Sample Question 50: cSFUdzXEH8MEkjemZg5e?,Option A 49,Option B 49,Option C 49,Option D 49,A,CO2,LO1,Hard,5
Sample Question 51: dbmwSwEbXh3TomTvMPEb?,Option A 50,Option B 50,Option C 50,Option D 50,C,CO1,LO3,Easy,1
Sample Question 52: cW6FDo1OiIPcXrjtNw5L?,Option A 51,Option B 51,Option C 51,Option D 51,B,CO1,LO5,Hard,1
Sample Question 53: QBw5kQuHIUchmnGfOpWO?,Option A 52,Option B 52,Option C 52,Option D 52,B,CO1,LO5,Medium,2
Bad Question thTZP,Option A 53,Option B 53,Option C 53,Option D 53,B,CO5,LO4,Hard,5
Bad Question 16LUf,Option A 54,Option B 54,Option C 54,Option D 54,C,CO2,LO2,Hard,1
Sample Question 56: 3eii04821Z0mxWZWLcUY?,Option A 55,Option B 55,Option C 55,Option D 55,B,CO3,LO5,Medium,1
Bad Question kxcuM,Option A 56,Option B 56,Option C 56,Option D 56,B,CO1,LO4,Medium,5
Sample Question 58: xwPqYz56AWdfRnJbCFga?,Option A 57,Option B 57,Option C 57,Option D 57,B,CO5,LO3,Hard,1
Sample Question 59: tI5Dz1S9LT5p7RxFvD8B?,Option A 58,Option B 58,Option C 58,Option D 58,C,CO5,LO1,Medium,2
Sample Question 60: HWNa07gxZzWd1YOCl7Wk?,Option A 59,Option B 59,Option C 59,Option D 59,A,CO3,LO4,Hard,2
Sample Question 61: leNA3GCsZWF44ppwkvWE?,Option A 60,Option B 60,Option C 60,Option D 60,D,CO5,LO4,Hard,2
Sample Question 62: BRmOXFjuCaYorOBnFPfK?,Option A 61,Option B 61,Option C 61,Option D 61,B,CO2,LO4,Medium,5
Sample Question 63: a3zYZDtjCcX5YHsmtu5Z?,Option A 62,Option B 62,Option C 62,Option D 62,C,CO2,LO2,Hard,5
Sample Question 64: lIh40I0Bj7grboz6jSXq?,Option A 63,Option B 63,Option C 63,Option D 63,B,CO2,LO3,Medium,5
Sample Question 65: Ll3oeQjYo7h3FI8cqWAh?,Option A 64,Option B 64,Option C 64,Option D 64,D,CO1,LO3,Hard,2
Sample Question 66: qt51GOe7DdGgzS6godw4?,Option A 65,Option B 65,Option C 65,Option D 65,B,CO5,LO1,Easy,1
Bad Question 63SFc,Option A 66,Option B 66,Option C 66,Option D 66,B,CO1,LO3,Hard,5
Sample Question 68: MbygSOmskIbcbWmrZ1Pt?,Option A 67,Option B 67,Option C 67,Option D 67,A,CO2,LO3,Medium,5
Sample Question 69: zufHG7bSRaYzMI952NqA?,Option A 68,Option B 68,Option C 68,Option D 68,B,CO1,LO5,Easy,1
Sample Question 70: 1yR5k5FbhA512qZnEPfE?,Option A 69,Option B 69,Option C 69,Option D 69,C,CO2,LO5,Hard,1
Sample Question 71: tGYneeEukRvHnqZVYzHT?,Option A 70,Option B 70,Option C 70,Option D 70,D,CO2,LO5,Medium,5
Sample Question 72: uyLFlky6z4O4RHJhYTfc?,Option A 71,Option B 71,Option C 71,Option D 71,D,CO4,LO5,Easy,1
Sample Question 73: b8sQlyZmOcKrHdoPfN6n?,Option A 72,Option B 72,Option C 72,Option D 72,A,CO4,LO2,Easy,5
Sample Question 74: Lf7uoTVaPffkBoCpADw0?,Option A 73,Option B 73,Option C 73,Option D 73,B,CO3,LO5,Medium,2
Sample Question 75: eoZJBEq5OgeaLnpAkI9H?,Option A 74,Option B 74,Option C 74,Option D 74,B,CO4,LO1,Medium,5
Bad Question ptCWV,Option A 75,Option B 75,Option C 75,Option D 75,B,CO5,LO4,Hard,1
Sample Question 77: OEC3aFuunp8F86wOxdsP?,Option A 76,Option B 76,Option C 76,Option D 76,B,CO5,LO4,Easy,1
Sample Question 78: Idbck3SFwyVCxXqlgbFC?,Option A 77,Option B 77,Option C 77,Option D 77,B,CO3,LO1,Medium,2
Sample Question 79: JqWJrfOjQotUsHxLF77H?,Option A 78,Option B 78,Option C 78,Option D 78,A,CO2,LO3,Medium,5
Sample Question 80: BheQWlQ9ryuYyArWKh95?,Option A 79,Option B 79,Option C 79,Option D 79,C,CO5,LO4,Hard,5
Sample Question 81: FXQgXtFhp8SRnC5U0h4W?,Option A 80,Option B 80,Option C 80,Option D 80,B,CO5,LO2,Easy,5
Sample Question 82: lx2Y97AghC3eBCrQe7Dm?,Option A 81,Option B 81,Option C 81,Option D 81,B,CO4,LO2,Medium,5
Sample Question 83: p5xiqqb0VVpb69oWJCyj?,Option A 82,Option B 82,Option C 82,Option D 82,B,CO2,LO4,Hard,5
Sample Question 84: ko34zyJ7jqYVHMPPAmRO?,Option A 83,Option B 83,Option C 83,Option D 83,D,CO3,LO3,Hard,5
Sample Question 85: 5yXYrDILbuQELa4qjpG0?,Option A 84,Option B 84,Option C 84,Option D 84,C,CO1,LO4,Medium,1
Sample Question 86: jJdzgpfL2vx4mPLCHL5I?,Option A 85,Option B 85,Option C 85,Option D 85,B,CO5,LO3,Easy,5
Sample Question 87: N0CANVOh0tSFRW9dtePh?,Option A 86,Option B 86,Option C 86,Option D 86,D,CO1,LO2,Easy,5
Sample Question 88: 1i6bIQJpbkPH8FbJjIIS?,Option A 87,Option B 87,Option C 87,Option D 87,A,CO2,LO4,Medium,1
Sample Question 89: EekSvQatJ0bLwZYsvTIz?,Option A 88,Option B 88,Option C 88,Option D 88,D,CO1,LO1,Easy,1
Sample Question 90: 34426NilxWZHEb8YaELI?,Option A 89,Option B 89,Option C 89,Option D 89,C,CO4,LO3,Hard,1
Sample Question 91: msAJxFZArwoLcgocDTfp?,Option A 90,Option B 90,Option C 90,Option D 90,D,CO4,LO2,Easy,2
Sample Question 92: euJfzmGr8cjMBAWyRzo0?,Option A 91,Option B 91,Option C 91,Option D 91,B,CO5,LO4,Hard,5
Sample Question 93: wCeQrV4iVQnc3kvv6nho?,Option A 92,Option B 92,Option C 92,Option D 92,A,CO2,LO3,Easy,2
Bad Question LF78C,Option A 93,Option B 93,Option C 93,Option D 93,A,CO1,LO1,Easy,5
Sample Question 95: 6cuqRXp3vhotysPKpWJr?,Option A 94,Option B 94,Option C 94,Option D 94,B,CO4,LO5,Hard,1
Sample Question 96: CDMAr6HNUaj33xBWdQaQ?,Option A 95,Option B 95,Option C 95,Option D 95,A,CO2,LO5,Easy,2
Sample Question 97: OJ2qx0HJhwo2kGJScTYc?,Option A 96,Option B 96,Option C 96,Option D 96,A,CO5,LO1,Medium,1
Sample Question 98: BLM8tIViN6a6L3XUE6nE?,Option A 97,Option B 97,Option C 97,Option D 97,B,CO1,LO2,Hard,2
Sample Question 99: D80lvTrGfsSicn8o1zLI?,Option A 98,Option B 98,Option C 98,Option D 98,B,CO3,LO2,Easy,1
Sample Question 100: evWtNFclSc1rKbUN6zh8?,Option A 99,Option B 99,Option C 99,Option D 99,D,CO4,LO5,Medium,2
Sample Question 101: gQGDNqJVKLMKxMCgUWpY?,Option A 100,Option B 100,Option C 100,Option D 100,A,CO4,LO1,Easy,1
Bad Question QxGzT,Option A 101,Option B 101,Option C 101,Option D 101,C,CO5,LO3,Hard,1
Sample Question 103: quij9wRdo3hZaVB22SE8?,Option A 102,Option B 102,Option C 102,Option D 102,B,CO3,LO1,Medium,1
Sample Question 104: NEHl6z6uxVzfmK75Up5L?,Option A 103,Option B 103,Option C 103,Option D 103,D,CO5,LO4,Hard,1
Sample Question 105: mjJgqQFChwjXkuV6RjsM?,Option A 104,Option B 104,Option C 104,Option D 104,A,CO5,LO2,Hard,5
Sample Question 106: biBfzT7JYaF5TaHjeFMV?,Option A 105,Option B 105,Option C 105,Option D 105,C,CO5,LO2,Medium,5
Bad Question mtJwA,Option A 106,Option B 106,Option C 106,Option D 106,B,CO4,LO5,Easy,2
Sample Question 108: K5lY1NGjbQBRKXrBAL06?,Option A 107,Option B 107,Option C 107,Option D 107,C,CO3,LO3,Hard,5
Sample Question 109: NUpbPVZ5238qPSeBPCg5?,Option A 108,Option B 108,Option C 108,Option D 108,A,CO2,LO3,Hard,2
Sample Question 110: y1n7aNrgIJNIf3YlruIZ?,Option A 109,Option B 109,Option C 109,Option D 109,D,CO3,LO5,Medium,5
Bad Question xxWXC,Option A 110,Option B 110,Option C 110,Option D 110,C,CO3,LO2,Hard,5
Sample Question 112: IUUbSoEpvzmd6ZVDXyl2?,Option A 111,Option B 111,Option C 111,Option D 111,D,CO3,LO1,Hard,1
Sample Question 113: wEA4iJSVEoyg3Nvhl1U2?,Option A 112,Option B 112,Option C 112,Option D 112,C,CO4,LO1,Medium,5
Sample Question 114: 5YQdzGamUZpJnzVWdhRT?,Option A 113,Option B 113,Option C 113,Option D 113,A,CO2,LO5,Hard,5
Sample Question 115: 19mcWu6FUhR0Cg5C7xly?,Option A 114,Option B 114,Option C 114,Option D 114,C,CO4,LO5,Medium,5
Sample Question 116: pvY5El2Siq1G1VH7J1yv?,Option A 115,Option B 115,Option C 115,Option D 115,D,CO5,LO5,Medium,2
Sample Question 117: wDYKXCWa83hkhuffkdnL?,Option A 116,Option B 116,Option C 116,Option D 116,A,CO5,LO4,Hard,1
Sample Question 118: nyu6v4ubC8qsgudyCuPH?,Option A 117,Option B 117,Option C 117,Option D 117,B,CO1,LO5,Hard,2
Sample Question 119: JQgUn7fbkZvmRw6czm19?,Option A 118,Option B 118,Option C 118,Option D 118,B,CO1,LO1,Hard,2
Sample Question 120: eZ377GYAgyKaAU06Xpgm?,Option A 119,Option B 119,Option C 119,Option D 119,A,CO5,LO3,Hard,2
